Player,Year,Votes,Vote_Share
Tiny Archibald,1976,98772,0.0557542190192717
Dave Bing,1976,75836,0.042807444959558266
Dave Cowens,1976,75311,0.042511096146280035
John Drew,1976,73609,0.0415503615173285
Alvan Adams,1976,63224,0.035688299753720024
Jo Jo White,1976,61208,0.03455032031073161
George McGinnis,1976,59750,0.0337273173207132
Curtis Perry,1976,56312,0.031786655949188315
Phil Chenier,1976,48457,0.027352713228615894
Jamaal Wilkes,1976,46882,0.026463666788781193
Randy Smith,1976,42916,0.024224963182187913
Fred Brown,1976,35585,0.02008680480096367
Doug Collins,1976,22000,0.012418426461183104
Scott Wedman,1976,22000,0.012418426461183104
Norm Van Lier,1976,22000,0.012418426461183104
Bob McAdoo,1975,98325,0.0888179288914583
Walt Frazier,1975,91621,0.08276214048272872
John Havlicek,1975,87715,0.07923381268969504
Kareem Abdul-Jabbar,1975,77832,0.07030640265934383
Bob Lanier,1975,65917,0.0595434672640555
Dave Cowens,1975,62156,0.0561461193814135
Rick Barry,1975,60547,0.05469269403092932
Gail Goodrich,1975,58986,0.05328262754733343
Earl Monroe,1975,52637,0.047547514091631736
Elvin Hayes,1975,52444,0.047373175314351784
Spencer Haywood,1975,50302,0.04543828587946235
Jo Jo White,1975,49346,0.044574721780604135
Tiny Archibald,1975,46724,0.042206243676831914
Charlie Scott,1975,40736,0.03679722503251915
Bob Dandridge,1975,36318,0.032806402659343835
Paul Silas,1975,34145,0.03084351062292239
Dave Bing,1975,31951,0.028861649082237317
Jim Price,1975,28120,0.02540106951871658
Sidney Wicks,1975,25527,0.02305878739702269
Phil Chenier,1975,20491,0.018509719612660788
Rudy Tomjanovich,1975,14017,0.012661692441104206
Wes Unseld,1975,13983,0.012630979910391676
Steve Mix,1975,3600,0.003251915016620899
Sam Lacey,1975,3600,0.003251915016620899
