Edition_year,Player_name,Votes,Rank
2012,Andrew Bynum,1051945,8
2012,Carmelo Anthony,1041290,9
2012,Blake Griffin,876451,10
2012,Rajon Rondo,547110,11
2012,Dirk Nowitzki,468435,12
2012,Kevin Love,373880,13
2012,Chris Bosh,324605,14
2012,Marc Gasol,285525,15
2012,LaMarcus Aldridge,279500,16
2012,Steve Nash,276268,17
2012,Luol Deng,276205,18
2012,Russell Westbrook,262186,19
2012,Paul Pierce,215020,20
2012,Deron Williams,208697,21
2012,Joe Johnson,66145,22
2011,Kobe Bryant,2380016,1
2011,Dwight Howard,2099204,2
2011,LeBron James,2053011,3
2011,Dwyane Wade,2048175,4
2011,Derrick Rose,1914996,5
2011,Kevin Durant,1736728,6
2011,Amar'e Stoudemire,1674995,7
2011,Rajon Rondo,1587297,8
2011,Kevin Garnett,1407601,9
2011,Carmelo Anthony,1299849,10
2011,Chris Paul,1281591,11
2011,Yao Ming,1146426,12
2011,Pau Gasol,1100772,13
2011,Blake Griffin,1033646,14
2011,Ray Allen,890951,15
2011,Tim Duncan,839599,16
2011,Paul Pierce,804838,17
2011,Dirk Nowitzki,785120,18
2011,Manu Ginobili,748840,19
2011,Russell Westbrook,660244,20
2011,Deron Williams,657806,21
2011,Chris Bosh,571734,22
2011,Kevin Love,492173,23
2011,Al Horford,287083,24
2011,Joe Johnson,224571,25
2010,LeBron James,2549693,1
2010,Kobe Bryant,2456224,2
2010,Dwight Howard,2360096,3
2010,Dwyane Wade,2327550,4
2010,Carmelo Anthony,2137560,5
2010,Kevin Garnett,1978116,6
2010,Amar'e Stoudemire,1824093,7
2010,Allen Iverson,1269568,8
2010,Steve Nash,1222235,9
2010,Chris Bosh,1164007,10
2010,Tim Duncan,1156696,11
2010,Dirk Nowitzki,1093005,12
2010,Chris Paul,1055789,13
2010,Pau Gasol,1051785,14
2010,Kevin Durant,870567,15
2010,Derrick Rose,571911,16
2010,Paul Pierce,525677,17
2010,Jason Kidd,523708,18
2010,Joe Johnson,496255,19
2010,Chauncey Billups,452983,20
2010,Rajon Rondo,425590,21
2010,Brandon Roy,422290,22
2010,Al Horford,270532,23
2009,Dwight Howard,3150181,1
2009,LeBron James,2940823,2
2009,Kobe Bryant,2805397,3
2009,Dwyane Wade,2741413,4
2009,Tim Duncan,2578168,5
2009,Yao Ming,2532958,6
2009,Chris Paul,2134798,7
2009,Kevin Garnett,2066833,8
2009,Shaquille O'Neal,1850018,9
2009,Allen Iverson,1804649,10
2009,Amar'e Stoudemire,1460429,11
2009,Paul Pierce,1238763,12
2009,Devin Harris,1182406,13
2009,Dirk Nowitzki,1107926,14
2009,Chris Bosh,1101052,15
2009,Tony Parker,1084361,16
2009,Pau Gasol,948301,17
2009,Ray Allen,851205,18
2009,Brandon Roy,468688,19
2009,Joe Johnson,420210,20
2008,Kevin Garnett,2399148,1
2008,LeBron James,2108831,2
2008,Dwight Howard,2066991,3
2008,Kobe Bryant,2004940,4
2008,Carmelo Anthony,1723701,5
2008,Tim Duncan,1712800,6
2008,Yao Ming,1709180,7
2008,Dwyane Wade,1608260,8
2008,Dirk Nowitzki,1259025,9
2008,Jason Kidd,1246386,10
2008,Allen Iverson,1203152,11
2008,Steve Nash,1174125,12
2008,Ray Allen,1061740,13
2008,Amar'e Stoudemire,998969,14
2008,Chris Bosh,838498,15
2008,Chauncey Billups,625772,16
2008,Paul Pierce,574159,17
2008,Chris Paul,563525,18
2008,Carlos Boozer,553624,19
2008,Caron Butler,340619,20
2008,Richard Hamilton,308357,21
2008,Rasheed Wallace,303978,22
2008,Joe Johnson,253308,23
2007,LeBron James,2516049,1
2007,Yao Ming,2451718,2
2007,Kobe Bryant,2138777,3
2007,Dwyane Wade,2029591,4
2007,Tracy McGrady,1942746,5
2007,Allen Iverson,1813638,6
2007,Shaquille O'Neal,1622446,7
2007,Kevin Garnett,1616575,8
2007,Steve Nash,1504826,9
2007,Dwight Howard,1464613,10
2007,Gilbert Arenas,1454166,11
2007,Vince Carter,1451156,12
2007,Tim Duncan,1436584,13
2007,Carmelo Anthony,1309945,14
2007,Dirk Nowitzki,1276304,15
2007,Amar'e Stoudemire,1209333,16
2007,Chris Bosh,1091263,17
2007,Jermaine O'Neal,934749,18
2007,Jason Kidd,838486,19
2007,Shawn Marion,551173,20
2007,Tony Parker,501429,21
2007,Chauncey Billups,499670,22
2007,Ray Allen,444443,23
2007,Josh Howard,412102,24
2007,Caron Butler,404489,25
2007,Carlos Boozer,359882,26
2007,Mehmet Okur,339247,27
2007,Richard Hamilton,306547,28
2006,Yao Ming,2342738,1
2006,Kobe Bryant,2271631,2
2006,LeBron James,2207697,3
2006,Shaquille O'Neal,2192542,4
2006,Allen Iverson,2062206,5
2006,Tracy McGrady,1818932,6
2006,Steve Nash,1818230,7
2006,Tim Duncan,1518796,8
2006,Dwyane Wade,1499664,9
2006,Kevin Garnett,1479386,10
2006,Vince Carter,1294373,11
2006,Jermaine O'Neal,1291836,12
2006,Ben Wallace,1234687,13
2006,Rasheed Wallace,866932,14
2006,Chauncey Billups,717006,15
2006,Ray Allen,693892,16
2006,Pau Gasol,662916,17
2006,Tony Parker,646739,18
2006,Dirk Nowitzki,626083,19
2006,Richard Hamilton,474895,20
2006,Gilbert Arenas,453971,21
2006,Elton Brand,442056,22
2006,Paul Pierce,441218,23
2006,Chris Bosh,352033,24
2006,Shawn Marion,285505,25
2005,Yao Ming,2558578,1
2005,Shaquille O'Neal,2488089,2
2005,Kevin Garnett,2087200,3
2005,Tracy McGrady,1993687,4
2005,Kobe Bryant,1815952,5
2005,Tim Duncan,1812522,6
2005,Vince Carter,1803529,7
2005,LeBron James,1661204,8
2005,Allen Iverson,1590400,9
2005,Grant Hill,1497489,10
2005,Jermaine O'Neal,1432438,11
2005,Dwyane Wade,1195888,12
2005,Steve Nash,1148275,13
2005,Ray Allen,920130,14
2005,Dirk Nowitzki,846912,15
2005,Ben Wallace,798454,16
2005,Amar'e Stoudemire,640370,17
2005,Manu Ginobili,568361,18
2005,Antawn Jamison,416683,19
2005,Zydrunas Ilgauskas,306581,20
2005,Shawn Marion,264203,21
2005,Paul Pierce,225037,22
2005,Gilbert Arenas,201859,23
2004,Vince Carter,2127183,1
2004,Ben Wallace,1982251,2
2004,Kevin Garnett,1780918,3
2004,Kobe Bryant,1759717,4
2004,Allen Iverson,1731648,5
2004,Tim Duncan,1681435,6
2004,Jermaine O'Neal,1629054,7
2004,Yao Ming,1484531,8
2004,Shaquille O'Neal,1453286,9
2004,Tracy McGrady,1231825,10
2004,Jason Kidd,1126838,11
2004,Steve Francis,976841,12
2004,Kenyon Martin,659773,13
2004,Baron Davis,644518,14
2004,Dirk Nowitzki,572362,15
2004,Peja Stojakovic,456369,16
2004,Metta World Peace,405326,17
2004,Paul Pierce,332353,18
2004,Ray Allen,303337,19
2004,Brad Miller,258693,20
2004,Jamaal Magloire,236448,21
2003,Kobe Bryant,1474386,1
2003,Tracy McGrady,1316297,2
2003,Vince Carter,1300895,3
2003,Yao Ming,1286324,4
2003,Tim Duncan,1179955,5
2003,Allen Iverson,1155897,6
2003,Ben Wallace,1123090,7
2003,Kevin Garnett,1086780,8
2003,Michael Jordan,1082909,9
2003,Dirk Nowitzki,1079425,10
2003,Shaquille O'Neal,1049081,11
2003,Steve Francis,966669,12
2003,Jason Kidd,962325,13
2003,Jermaine O'Neal,940958,14
2003,Chris Webber,906836,15
2003,Steve Nash,786923,16
2003,Antoine Walker,528613,17
2003,Gary Payton,511056,18
2003,Paul Pierce,313652,19
2003,Peja Stojakovic,308524,20
2003,Zydrunas Ilgauskas,297895,21
2003,Brad Miller,238755,22
2003,Jamal Mashburn,235417,23
2002,Vince Carter,1470176,1
2002,Shaquille O'Neal,1247438,2
2002,Kobe Bryant,1121753,3
2002,Michael Jordan,985448,4
2002,Allen Iverson,920502,5
2002,Kevin Garnett,880692,6
2002,Tim Duncan,762289,7
2002,Dikembe Mutombo,616566,8
2002,Chris Webber,553401,9
2002,Antoine Walker,547172,10
2002,Steve Francis,456972,11
2002,Tracy McGrady,453276,12
2002,Jason Kidd,442630,13
2002,Jermaine O'Neal,411422,14
2002,Dirk Nowitzki,398184,15
2002,Gary Payton,367120,16
2002,Ray Allen,365421,17
2002,Shareef Abdur-Rahim,335955,18
2002,Peja Stojakovic,323664,19
2002,Alonzo Mourning,279423,20
2002,Steve Nash,278664,21
2002,Paul Pierce,254840,22
2002,Karl Malone,163009,23
2002,Elton Brand,160678,24
2002,Baron Davis,127291,25
2001,Vince Carter,1717687,1
2001,Shaquille O'Neal,1541298,2
2001,Allen Iverson,1508142,3
2001,Kobe Bryant,1433747,4
2001,Chris Webber,1306243,5
2001,Tim Duncan,1096522,6
2001,Jason Kidd,1062837,7
2001,Kevin Garnett,1003336,8
2001,Alonzo Mourning,917866,9
2001,Grant Hill,904885,10
2001,Tracy McGrady,827122,11
2001,Latrell Sprewell,817855,12
